Track Name,Artist,Streams,Years,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10
Thats What I Like,Bruno Mars,371473.0,2017.0,pop, post-teen pop, dance pop,,,,,,,
Light,San Holo,371468.0,2017.0,electronic trap, edm, future bass, vapor twitch, pop dance, pop edm, electropop, electro house,,
Immortal,J. Cole,367746.0,2017.0,north carolina hip hop, conscious hip hop, rap, hip hop,,,,,,
Chillax (feat. Ky-Mani Marley),Farruko,363805.0,2017.0,reggaeton, latin, latin hip hop, trap latino,,,,,,
Wake Up Where You Are,State of Sound,362966.0,2017.0,swedish tropical house, deep tropical house, tropical house,,,,,,,
Would I Lie to You - Radio Edit,David Guetta,359074.0,2017.0,big room, dance pop, edm, pop dance, pop,,,,,
Please Dont Go,Joel Adams,357531.0,2017.0,pop soul, australian pop,,,,,,,,
Rockinâ€™,The Weeknd,357162.0,2017.0,pop, rnb, pop,,,,,,,
Sugar (feat. Francesco Yates),Robin Schulz,355613.0,2017.0,german dance, tropical house, deep euro house, pop dance, deep house, edm, pop, dance pop,,
Hymn for the Weekend,Coldplay,352612.0,2017.0,permanent wave, pop,,,,,,,,
Alarm,Anne-Marie,351130.0,2017.0,pop, uk pop, dance pop, post-teen pop, tropical house, pop dance,,,,
You & Me,Marc E. Bassy,350746.0,2017.0,pop rap, pop, rnb, electropop, rap,,,,,
No Lie,Sean Paul,350700.0,2017.0,dance pop, dancehall, pop rap, pop,,,,,,
Bobo,J Balvin,350414.0,2017.0,reggaeton colombiano, reggaeton, trap latino, latin,,,,,,
Stay (feat. Maty Noyes),Kygo,347597.0,2017.0,tropical house, pop dance, pop, edm,,,,,,
Used to This (feat. Drake),Future,344032.0,2017.0,rap, atl hip hop, trap, pop rap, southern hip hop,,,,,
Purple Lamborghini (with Rick Ross),Skrillex,343807.0,2017.0,brostep, edm, electro, complextro, pop dance,,,,,
Cool Girl,Tove Lo,343803.0,2017.0,pop, swedish electropop, electropop, dance pop, metropopolis, swedish synthpop, post-teen pop, swedish pop, pop rap,
Miss You,James Hersey,342000.0,2017.0,tropical house,,,,,,,,,
Die For You,The Weeknd,341736.0,2017.0,pop, rnb, pop,,,,,,,
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,341046.0,2017.0,detroit hip hop, rap, hip hop,,,,,,,
Paper Planes,M.I.A.,341003.0,2017.0,indietronica, escape room, new rave, dance pop,,,,,,
Let It Go,James Bay,340299.0,2017.0,pop, neo mellow, pop rock, modern rock,,,,,,
Famous,Kanye West,336134.0,2017.0,chicago rap, rap,,,,,,,,
Taped up Heart (feat. Clara Mae),KREAM,333469.0,2017.0,pop dance, tropical house, edm, pop edm, house, electro house, deep groove house, dance pop, progressive house,
White Iverson,Post Malone,332756.0,2017.0,dfw rap, melodic rap, rap,,,,,,,
Oh Lord,MiC LOWRY,331792.0,2017.0,pop rnb, trap soul, post-teen pop, rnb, chill rnb, alternative rnb, urban contemporary, afroswing, dance pop, hip pop
Superstition - Single Version,Stevie Wonder,331376.0,2017.0,motown, soul, quiet storm, indie rnb, funk,,,,,
Secrets,The Weeknd,331233.0,2017.0,pop, rnb, pop,,,,,,,
Ni**as In Paris,JAY-Z,325951.0,2017.0,rap, hip hop, east coast hip hop, pop rap,,,,,,
Touch,Little Mix,404835.0,2017.0,talent show, pop, girl group, post-teen pop, uk pop, dance pop,,,,
September Song,JP Cooper,392761.0,2017.0,uk pop, pop, neo mellow, indie cafe pop, tropical house, pop rock,,,,
Not Going Home (feat. Gia Koka),DVBBS,386039.0,2017.0,pop dance, edm, canadian electronic, slap house, electro house, tropical house, pop edm, dance pop,,
Million Reasons,Lady Gaga,372515.0,2017.0,pop, post-teen pop, dance pop,,,,,,,
All of Me,John Legend,353955.0,2017.0,pop soul, neo soul, pop, rnb, urban contemporary,,,,,
Cocoon,Milky Chance,352419.0,2017.0,german pop,,,,,,,,,
True Colors,The Weeknd,351868.0,2017.0,pop, rnb, pop,,,,,,,
Let Her Go,Passenger,349450.0,2017.0,folk-pop, neo mellow, pop rock, pop,,,,,,
Stay With Me,Sam Smith,348449.0,2017.0,pop, uk pop, post-teen pop, dance pop,,,,,,
When We Were Young,Adele,347678.0,2017.0,pop soul, british soul, uk pop, pop,,,,,,
Love$ick (feat. A$AP Rocky),Mura Masa,347540.0,2017.0,channel islands indie, vapor soul,,,,,,,,
The Scientist,Coldplay,346351.0,2017.0,permanent wave, pop,,,,,,,,
Adventure of a Lifetime,Coldplay,346139.0,2017.0,permanent wave, pop,,,,,,,,
Till I Collapse,Eminem,338505.0,2017.0,detroit hip hop, rap, hip hop,,,,,,,
Sugar,Maroon 5,335115.0,2017.0,pop, pop rock,,,,,,,,
Kill Em With Kindness,Selena Gomez,333694.0,2017.0,pop, post-teen pop, dance pop,,,,,,,
Mr. Brightside,The Killers,333579.0,2017.0,dance rock, permanent wave, modern rock, rock,,,,,,
Dont,Bryson Tiller,331803.0,2017.0,kentucky hip hop, rap, pop rap, rnb, trap, pop,,,,
Take Me To Church,Hozier,330936.0,2017.0,irish singer-songwriter, pop, modern rock,,,,,,,
Its Gotta Be You,Isaiah Firebrace,383927.0,2017.0,australian pop,,,,,,,,,
Somebody Else,VÃ‰RITÃ‰,374156.0,2017.0,indie electropop, nyc pop, vapor pop, indie poptimism, electropop, vapor soul, metropopolis, alt z, brooklyn indie, indie pop
Change,J. Cole,374137.0,2017.0,north carolina hip hop, conscious hip hop, rap, hip hop,,,,,,
Cake - Challenge Version,Flo Rida,369937.0,2017.0,miami hip hop, dance pop, pop rap, pop,,,,,,
